Table VIIIa. Energies are in eV and Cross Sections are in Angstrom^2.

Energy         	v=0         	Energy         	v=1         	Energy         	v=2         	Energy         	v=3         	Energy         	v=4
57.30         	2.82(-02)	56.94         	2.93(-02)	56.60         	3.04(-02)	56.30         	3.13(-02)	56.02         	3.21(-02)
58.30         	2.69(-02)	57.94         	2.80(-02)	57.60         	2.90(-02)	57.30         	3.00(-02)	57.02         	3.07(-02)
59.30         	2.58(-02)	58.94         	2.68(-02)	58.60         	2.77(-02)	58.30         	2.87(-02)	58.02         	2.93(-02)
60.30         	2.47(-02)	59.94         	2.56(-02)	59.60         	2.66(-02)	59.30         	2.74(-02)	59.02         	2.80(-02)
61.30         	2.36(-02)	60.94         	2.46(-02)	60.60         	2.54(-02)	60.30         	2.63(-02)	60.02         	2.68(-02)
62.30         	2.26(-02)	61.94         	2.35(-02)	61.60         	2.44(-02)	61.30         	2.52(-02)	61.02         	2.56(-02)
63.30         	2.17(-02)	62.94         	2.26(-02)	62.60         	2.34(-02)	62.30         	2.41(-02)	62.02         	2.45(-02)
64.30         	2.08(-02)	63.94         	2.17(-02)	63.60         	2.24(-02)	63.30         	2.32(-02)	63.02         	2.35(-02)
65.30         	2.00(-02)	64.94         	2.08(-02)	64.60         	2.15(-02)	64.30         	2.22(-02)	64.02         	2.25(-02)
66.30         	1.92(-02)	65.94         	2.00(-02)	65.60         	2.07(-02)	65.30         	2.14(-02)	65.02         	2.16(-02)
67.30         	1.85(-02)	66.94         	1.92(-02)	66.60         	1.99(-02)	66.30         	2.05(-02)	66.02         	2.08(-02)
68.30         	1.78(-02)	67.94         	1.85(-02)	67.60         	1.91(-02)	67.30         	1.97(-02)	67.02         	2.00(-02)
69.30         	1.71(-02)	68.94         	1.78(-02)	68.60         	1.84(-02)	68.30         	1.90(-02)	68.02         	1.93(-02)
70.30         	1.65(-02)	69.94         	1.71(-02)	69.60         	1.77(-02)	69.30         	1.83(-02)	69.02         	1.86(-02)
71.30         	1.59(-02)	70.94         	1.65(-02)	70.60         	1.70(-02)	70.30         	1.76(-02)	70.02         	1.79(-02)
72.30         	1.53(-02)	71.94         	1.59(-02)	71.60         	1.64(-02)	71.30         	1.69(-02)	71.02         	1.73(-02)
73.30         	1.47(-02)	72.94         	1.53(-02)	72.60         	1.58(-02)	72.30         	1.63(-02)	72.02         	1.68(-02)
74.30         	1.42(-02)	73.94         	1.47(-02)	73.60         	1.52(-02)	73.30         	1.57(-02)	73.02         	1.63(-02)
75.30         	1.37(-02)	74.94         	1.42(-02)	74.60         	1.47(-02)	74.30         	1.52(-02)	74.02         	1.58(-02)
76.30         	1.32(-02)	75.94         	1.37(-02)	75.60         	1.42(-02)	75.30         	1.46(-02)	75.02         	1.53(-02)
77.30         	1.28(-02)	76.94         	1.33(-02)	76.60         	1.37(-02)	76.30         	1.41(-02)	76.02         	1.49(-02)
78.30         	1.23(-02)	77.94         	1.28(-02)	77.60         	1.32(-02)	77.30         	1.36(-02)	77.02         	1.45(-02)
79.30         	1.19(-02)	78.94         	1.24(-02)	78.60         	1.28(-02)	78.30         	1.31(-02)	78.02         	1.42(-02)
80.30         	1.15(-02)	79.94         	1.20(-02)	79.60         	1.24(-02)	79.30         	1.26(-02)	79.02         	1.38(-02)
81.30         	1.12(-02)	80.94         	1.16(-02)	80.60         	1.20(-02)	80.30         	1.22(-02)	80.02         	1.35(-02)
82.30         	1.08(-02)	81.94         	1.12(-02)	81.60         	1.16(-02)	81.30         	1.17(-02)	81.02         	1.32(-02)
83.30         	1.04(-02)	82.94         	1.08(-02)	82.60         	1.12(-02)	82.30         	1.13(-02)	82.02         	1.28(-02)
84.30         	1.01(-02)	83.94         	1.05(-02)	83.60         	1.09(-02)	83.30         	1.09(-02)	83.02         	1.25(-02)
85.30         	9.80(-03)	84.94         	1.02(-02)	84.60         	1.05(-02)	84.30         	1.05(-02)	84.02         	1.22(-02)
86.30         	9.49(-03)	85.94         	9.84(-03)	85.60         	1.02(-02)	85.30         	1.02(-02)	85.02         	1.18(-02)
87.30         	9.20(-03)	86.94         	9.54(-03)	86.60         	9.90(-03)	86.30         	9.84(-03)	86.02         	1.15(-02)
88.30         	8.92(-03)	87.94         	9.24(-03)	87.60         	9.60(-03)	87.30         	9.51(-03)	87.02         	1.11(-02)
89.30         	8.65(-03)	88.94         	8.96(-03)	88.60         	9.32(-03)	88.30         	9.20(-03)	88.02         	1.08(-02)
90.30         	8.39(-03)	89.94         	8.69(-03)	89.60         	9.05(-03)	89.30         	8.91(-03)	89.02         	1.04(-02)
91.30         	8.15(-03)	90.94         	8.43(-03)	90.60         	8.79(-03)	90.30         	8.64(-03)	90.02         	1.00(-02)
92.30         	7.91(-03)	91.94         	8.19(-03)	91.60         	8.53(-03)	91.30         	8.39(-03)	91.02         	9.62(-03)
93.30         	7.68(-03)	92.94         	7.95(-03)	92.60         	8.29(-03)	92.30         	8.15(-03)	92.02         	9.21(-03)
94.30         	7.46(-03)	93.94         	7.72(-03)	93.60         	8.05(-03)	93.30         	7.93(-03)	93.02         	8.79(-03)
95.30         	7.25(-03)	94.94         	7.49(-03)	94.60         	7.83(-03)	94.30         	7.73(-03)	94.02         	8.37(-03)
96.30         	7.04(-03)	95.94         	7.28(-03)	95.60         	7.60(-03)	95.30         	7.55(-03)	95.02         	7.95(-03)
97.30         	6.85(-03)	96.94         	7.08(-03)	96.60         	7.39(-03)	96.30         	7.38(-03)	96.02         	7.53(-03)
98.30         	6.66(-03)	97.94         	6.88(-03)	97.60         	7.18(-03)	97.30         	7.23(-03)	97.02         	7.11(-03)
99.30         	6.48(-03)	98.94         	6.69(-03)	98.60         	6.98(-03)	98.30         	7.09(-03)	98.02         	6.69(-03)
         	         	99.94         	6.51(-03)	99.60         	6.78(-03)	99.30         	6.96(-03)	99.02         	6.29(-03)



Energy         	v=10         	Energy         	v=11         	Energy         	v=12         	Energy         	v=13
0.78         	4.18(-05)	0.56         	6.60(-04)	0.38         	4.21(-03)	0.22         	9.10(-03)
1.78         	1.09(-01)	1.56         	1.16(-01)	1.38         	1.26(-01)	1.22         	1.36(-01)
2.78         	2.05(-01)	2.56         	2.19(-01)	2.38         	2.33(-01)	2.22         	2.45(-01)
3.78         	2.89(-01)	3.56         	3.03(-01)	3.38         	3.17(-01)	3.22         	3.32(-01)
4.78         	3.57(-01)	4.56         	3.72(-01)	4.38         	3.88(-01)	4.22         	4.03(-01)
5.78         	4.13(-01)	5.56         	4.30(-01)	5.38         	4.46(-01)	5.22         	4.61(-01)
6.78         	4.64(-01)	6.56         	4.78(-01)	6.38         	4.92(-01)	6.22         	5.05(-01)
7.78         	4.97(-01)	7.56         	5.12(-01)	7.38         	5.28(-01)	7.22         	5.42(-01)
8.78         	5.34(-01)	8.56         	5.47(-01)	8.38         	5.59(-01)	8.22         	5.72(-01)
9.78         	5.54(-01)	9.56         	5.69(-01)	9.38         	5.84(-01)	9.22         	5.96(-01)
10.78         	5.78(-01)	10.56         	5.89(-01)	10.38         	6.01(-01)	10.22         	6.12(-01)
11.78         	5.99(-01)	11.56         	6.10(-01)	11.38         	6.20(-01)	11.22         	6.30(-01)
12.78         	6.08(-01)	12.56         	6.21(-01)	12.38         	6.32(-01)	12.22         	6.42(-01)
13.78         	6.17(-01)	13.56         	6.27(-01)	13.38         	6.38(-01)	13.22         	6.48(-01)
14.78         	6.31(-01)	14.56         	6.38(-01)	14.38         	6.46(-01)	14.22         	6.54(-01)
15.78         	5.84(-01)	15.56         	6.05(-01)	15.38         	6.24(-01)	15.22         	6.43(-01)
